"filename", "language", "JSON", "JavaScript", "vue", "JSON with Comments", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\README.md", "Markdown", 0, 0, 0, 0, 0, 18, 0, 0, 11, 29
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\index.html", "HTML", 0, 0, 0, 0, 0, 0, 18, 0, 1, 19
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\jsconfig.json", "JSON with Comments", 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\package-lock.json", "JSON", 1319, 0, 0, 0, 0, 0, 0, 0, 1, 1320
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\package.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\server\index.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 4, 6, 26
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\server\package-lock.json", "JSON", 834, 0, 0, 0, 0, 0, 0, 0, 1, 835
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\server\package.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\server\router\Crawler.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 4, 10
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\server\router\chatgpt.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 4, 9
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\server\router\resource.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 4, 10
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\server\router_handler\Crawler.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 5, 6, 84
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\server\router_handler\chatgpt.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 4, 7, 50
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\server\router_handler\resource.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 5, 6, 65
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\server\src\1\content.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\server\src\2\content.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\server\src\3\content.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\server\src\4\content.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\server\src\5\content.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
